Municípios,Densidade Empresarial,Renda,Educação,Valores Solidários - programas e ações,Tecido Social,Tecido Empresarial,Articulação,Gestão Pública,Participação e Controle Social,Vantagens Locais,Organização Produtiva,Comércio Internacional
Américo de Campos,0.276926242,0.623245129,0.807840814,0,0.0000235,0,0.083333333,0.594629802,0.508333333,0.311833724,0.477329333,0.06779201
Amparo,0.307544573,0.723273767,0.831232453,1,0.004831711,0.002001601,0.416666667,0.78076826,0.616507937,0.402097897,0.512563337,0.155425468
Analândia,0.334904511,0.656069191,0.824904425,0,0.0000117,0,0.083333333,0.468231661,0.330555556,0.334883293,0.449849186,0.06779201
Andradina,0.309883337,0.688613047,0.823980032,1,0.002650405,0.003803042,0.166666667,0.762527091,0.444761905,0.401987067,0.496572699,0.099943908
Angatuba,0.282704447,0.585300106,0.793664394,0,0.000527735,0,0.166666667,0.741674792,0.285079365,0.342697544,0.480850317,0.06779201
Anhembi,0.29282813,0.576719255,0.74584455,0,0.000105547,0,0,0.632887074,0.204206349,0.333200984,0.441730281,0.06779201
Anhumas,0.285440463,0.575632066,0.812203446,0,0.000211094,0,0,0.577799955,0.321984127,0.363505429,0.440702277,0.06779201
Aparecida,0.390844651,0.645422333,0.870631794,0,0.02731324,0,0,0.724798257,0.291984127,0.390436879,0.484532617,0.06779201
Aparecida d'Oeste,0.14441825,0.582970866,0.775092156,0,0.0000235,0,0.083333333,0.183386962,0.319047619,0.361289851,0.360252644,0.06779201
Apiaí,0.286384988,0.463848128,0.771486523,0,0.001125836,0,0.416666667,0.702808543,0.380079365,0.28441162,0.488791913,0.06779201
Araçariguama,0.247489838,0.61979061,0.785281943,0,0.001372112,0.00020016,0,0.728255137,0.405952381,0.321353271,0.525183215,0.122858787
Araçatuba,0.329097498,0.721318109,0.852981345,1,0.01345139,0.004603683,0.083333333,0.585106451,0.539603175,0.448453207,0.515505445,0.110359673
Araçoiaba da Serra,0.259257717,0.668172681,0.823843271,1,0.001653571,0.001000801,0,0.717886903,0.465079365,0.330848006,0.498437869,0.092731521
Aramina,0.231824375,0.641201661,0.805223995,0,0.0000938,0,0,0.546710544,0.458174603,0.352361191,0.477913082,0.06779201
Arandu,0.262410895,0.571169589,0.748610771,0,0.0000821,0,0,0.53238592,0.426825397,0.355799229,0.426540692,0.06779201
Arapeí,0.269982172,0.483015092,0.731956763,0,0.0000235,0,0,0.785835488,0.510238095,0.324225122,0.447000488,0.06779201
Araraquara,0.287988117,0.73594211,0.875258429,0.571428571,0.01331066,0.006004804,0,0.799779443,0.560793651,0.433974446,0.560737947,0.117374142
Araras,0.271554651,0.697245512,0.852018306,0,0.005136625,0.00020016,0,0.231226347,0.614761905,0.416136454,0.554372218,0.151030822
Arco-Íris,0.220283176,0.548228949,0.777774918,0,0,0,0.166666667,0.52828839,0.368174603,0.281066898,0.399145453,0.06779201
Arealva,0.428447593,0.623330429,0.782310946,0,0.000222822,0,0,0.444510935,0.265079365,0.339624603,0.427368851,0.06779201
